"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.659112044E0,-8.969153166E-1,-1.096558044E-4,-9.349775910E-1,1.295623477E0
2.669112044E0,-9.311960340E-1,-1.011388522E-4,-9.535679817E-1,1.332823304E0
2.679112044E0,-9.548454881E-1,-4.173308262E-4,-9.754533172E-1,1.365005221E0
2.689112044E0,-9.424458742E-1,-4.290416546E-4,-9.964764118E-1,1.371557381E0
2.699112044E0,-9.460187554E-1,-4.226539459E-4,-1.020053387E0,1.391208315E0
2.709112044E0,-9.435562491E-1,-4.269124183E-4,-1.041028619E0,1.405005040E0
2.719112044E0,-9.476710558E-1,-4.343647452E-4,-1.061026335E0,1.422623457E0
2.729112044E0,-9.456823468E-1,-4.439463373E-4,-1.077937841E0,1.433968371E0
2.739112044E0,-9.469981790E-1,-4.396878358E-4,-1.093158722E0,1.446306239E0
2.749112044E0,-9.359900355E-1,-8.118787780E-3,-1.104738593E0,1.447960849E0
2.759112044E0,-9.228984118E-1,-1.176723931E-2,-1.113301396E0,1.446139670E0
2.769112044E0,-8.975721598E-1,-1.332264859E-2,-1.118449807E0,1.434135017E0
2.779112044E0,-8.612154126E-1,-1.072923560E-2,-1.119560242E0,1.412523358E0
2.789112044E0,-8.165248036E-1,-5.428494886E-3,-1.118012309E0,1.384447091E0
2.799112044E0,-7.576279640E-1,3.442979418E-3,-1.113527060E0,1.346831281E0
2.809112044E0,-6.962579489E-1,1.220479794E-2,-1.107766390E0,1.308461105E0
2.819112044E0,-6.221359372E-1,2.283395827E-2,-1.099662542E0,1.263658269E0
2.829112044E0,-5.621255040E-1,3.665591404E-2,-1.089405894E0,1.226431384E0
2.839112044E0,-5.003584027E-1,5.297333747E-2,-1.077466249E0,1.189158620E0
2.849112044E0,-4.434640408E-1,7.204493135E-2,-1.066479325E0,1.157250612E0
2.859112044E0,-3.913104832E-1,9.113142639E-2,-1.055950284E0,1.129805219E0
2.869112044E0,-3.426232934E-1,1.114720479E-1,-1.046278238E0,1.106578009E0
2.879112044E0,-3.028970063E-1,1.321916729E-1,-1.038017869E0,1.089358679E0
2.889112044E0,-2.728098035E-1,1.524236947E-1,-1.031735539E0,1.078024302E0
2.899112044E0,-2.485034764E-1,1.713324040E-1,-1.026408195E0,1.069870345E0
2.909112044E0,-2.302484512E-1,1.894852370E-1,-1.021936774E0,1.064553322E0
2.919112044E0,-2.185248584E-1,2.053012252E-1,-1.018424630E0,1.061645155E0
2.929112044E0,-2.111864388E-1,2.197917551E-1,-1.015836477E0,1.060580914E0
2.939112044E0,-2.089113444E-1,2.326693982E-1,-1.013558149E0,1.060697469E0
2.949112044E0,-2.105764151E-1,2.468139231E-1,-1.011773944E0,1.062518731E0
2.959112044E0,-2.156652957E-1,2.601568103E-1,-1.009721279E0,1.064767649E0
2.969112044E0,-2.220508754E-1,2.705293894E-1,-1.008574724E0,1.067574689E0
2.979112044E0,-2.290912122E-1,2.771044672E-1,-1.008646011E0,1.070811116E0
